figi,name,ticker,exchCode,compositeFIGI,uniqueID,securityType,marketSector,shareClassFIGI,uniqueIDFutOpt,securityType2,securityDescription
BBG001B4BV87,FORTUNE BRANDS HOME & SECURI,FBHS,US,BBG001B4BV87,,Common Stock,Equity,BBG001THLZ70,,Common Stock,FBHS
BBG00JHNJW99,FOX CORP - CLASS A,FOXA,US,BBG00JHNJW99,,Common Stock,Equity,BBG00JHNJX06,,Common Stock,FOXA
BBG00JHNKJY8,FOX CORP - CLASS B,FOX,US,BBG00JHNKJY8,,Common Stock,Equity,BBG00JHNKKR3,,Common Stock,FOX
BBG000BJDB15,FREEPORT-MCMORAN INC,FCX,US,BBG000BJDB15,,Common Stock,Equity,BBG001S5R3F3,,Common Stock,FCX
BBG009S39JX6,ALPHABET INC-CL A,GOOGL,US,BBG009S39JX6,,Common Stock,Equity,BBG009S39JY5,,Common Stock,GOOGL
BBG009S3NB30,ALPHABET INC-CL C,GOOG,US,BBG009S3NB30,,Common Stock,Equity,BBG009S3NB21,,Common Stock,GOOG
BBG000BKFZM4,CORNING INC,GLW,US,BBG000BKFZM4,,Common Stock,Equity,BBG001S5RLH1,,Common Stock,GLW
BBG000BKLH74,GAP INC/THE,GPS,US,BBG000BKLH74,,Common Stock,Equity,BBG001S5RNN0,,Common Stock,GPS
BBG000C4LN67,GARMIN LTD,GRMN,US,BBG000C4LN67,,Common Stock,Equity,BBG001SG0H12,,Common Stock,GRMN
BBG000PQ4W72,GENERAC HOLDINGS INC,GNRC,US,BBG000PQ4W72,,Common Stock,Equity,BBG001T5VGH6,,Common Stock,GNRC
BBG000BK67C7,GENERAL DYNAMICS CORP,GD,US,BBG000BK67C7,,Common Stock,Equity,BBG001S5RHP1,,Common Stock,GD
BBG000BK6MB5,GENERAL ELECTRIC CO,GE,US,BBG000BK6MB5,,Common Stock,Equity,BBG001S5PVD5,,Common Stock,GE
BBG000BKCFC2,GENERAL MILLS INC,GIS,US,BBG000BKCFC2,,Common Stock,Equity,BBG001S5RKR2,,Common Stock,GIS
BBG000NDYB67,GENERAL MOTORS CO,GM,US,BBG000NDYB67,,Common Stock,Equity,BBG001SM1DK6,,Common Stock,GM
BBG000BKL348,GENUINE PARTS CO,GPC,US,BBG000BKL348,,Common Stock,Equity,BBG001S5RNH7,,Common Stock,GPC
BBG000CKGBP2,GILEAD SCIENCES INC,GILD,US,BBG000CKGBP2,,Common Stock,Equity,BBG001S6Y1X7,,Common Stock,GILD
BBG000BVD6X4,GLOBE LIFE INC,GL,US,BBG000BVD6X4,,Common Stock,Equity,BBG001S5WRX4,,Common Stock,GL
BBG000CX0P89,GLOBAL PAYMENTS INC,GPN,US,BBG000CX0P89,,Common Stock,Equity,BBG001SGS2Z8,,Common Stock,GPN
BBG000C6CFJ5,GOLDMAN SACHS GROUP INC,GS,US,BBG000C6CFJ5,,Common Stock,Equity,BBG001SC07Z6,,Common Stock,GS
BBG000BKR1D6,WW GRAINGER INC,GWW,US,BBG000BKR1D6,,Common Stock,Equity,BBG001S5RRD2,,Common Stock,GWW
BBG000BKTFN2,HALLIBURTON CO,HAL,US,BBG000BKTFN2,,Common Stock,Equity,BBG001S5RS59,,Common Stock,HAL
BBG000D2ZTS8,HANESBRANDS INC,HBI,US,BBG000D2ZTS8,,Common Stock,Equity,BBG001SMCKB8,,Common Stock,HBI
BBG000G0Z878,HARTFORD FINANCIAL SVCS GRP,HIG,US,BBG000G0Z878,,Common Stock,Equity,BBG001S8PXF3,,Common Stock,HIG
BBG000BKVJK4,HASBRO INC,HAS,US,BBG000BKVJK4,,Common Stock,Equity,BBG001S5RSQ6,,Common Stock,HAS
BBG000QW7VC1,HCA HEALTHCARE INC,HCA,US,BBG000QW7VC1,,Common Stock,Equity,BBG001T8NTY2,,Common Stock,HCA
BBG000BNMMJ3,HENRY SCHEIN INC,HSIC,US,BBG000BNMMJ3,,Common Stock,Equity,BBG001S6S7F1,,Common Stock,HSIC
BBG000BLHRS2,HERSHEY CO/THE,HSY,US,BBG000BLHRS2,,Common Stock,Equity,BBG001S5S148,,Common Stock,HSY
BBG000BBD070,HESS CORP,HES,US,BBG000BBD070,,Common Stock,Equity,BBG001S5NHS2,,Common Stock,HES
BBG0078W3NQ3,HEWLETT PACKARD ENTERPRISE,HPE,US,BBG0078W3NQ3,,Common Stock,Equity,BBG0078W3NP4,,Common Stock,HPE
BBG0058KMH30,HILTON WORLDWIDE HOLDINGS IN,HLT,US,BBG0058KMH30,,Common Stock,Equity,BBG0058KMH49,,Common Stock,HLT
BBG000C3NTN5,HOLOGIC INC,HOLX,US,BBG000C3NTN5,,Common Stock,Equity,BBG001S6HWB2,,Common Stock,HOLX
BBG000BKZB36,HOME DEPOT INC,HD,US,BBG000BKZB36,,Common Stock,Equity,BBG001S5RTW7,,Common Stock,HD
BBG000H556T9,HONEYWELL INTERNATIONAL INC,HON,US,BBG000H556T9,,Common Stock,Equity,BBG001S5X1N1,,Common Stock,HON
BBG000BLF8D2,HORMEL FOODS CORP,HRL,US,BBG000BLF8D2,,Common Stock,Equity,BBG001S5S0D0,,Common Stock,HRL
BBG000BL8804,HOST HOTELS & RESORTS INC,HST,US,BBG000BL8804,,REIT,Equity,BBG001S5RY83,,REIT,HST
BBG00DYNJGH9,HOWMET AEROSPACE INC,HWM,US,BBG00DYNJGH9,,Common Stock,Equity,BBG00DYNJH69,,Common Stock,HWM
BBG000KHWT55,HP INC,HPQ,US,BBG000KHWT55,,Common Stock,Equity,BBG001S6W7N7,,Common Stock,HPQ
BBG000BLKK03,HUMANA INC,HUM,US,BBG000BLKK03,,Common Stock,Equity,BBG001S5S1X6,,Common Stock,HUM
BBG000BKWSR6,HUNTINGTON BANCSHARES INC,HBAN,US,BBG000BKWSR6,,Common Stock,Equity,BBG001S5RSZ6,,Common Stock,HBAN
BBG001KJ2HM9,HUNTINGTON INGALLS INDUSTRIE,HII,US,BBG001KJ2HM9,,Common Stock,Equity,BBG001V0PDL3,,Common Stock,HII
BBG000BB65D0,GARTNER INC,IT,US,BBG000BB65D0,,Common Stock,Equity,BBG001S5SD60,,Common Stock,IT
BBG000C1HN22,IDEX CORP,IEX,US,BBG000C1HN22,,Common Stock,Equity,BBG001S67N14,,Common Stock,IEX
BBG000BLRT07,IDEXX LABORATORIES INC,IDXX,US,BBG000BLRT07,,Common Stock,Equity,BBG001S5S4Y9,,Common Stock,IDXX
BBG006G063F9,IHS MARKIT LTD,INFO,US,BBG006G063F9,,Common Stock,Equity,BBG006G063G8,,Common Stock,INFO
BBG000BMBL90,ILLINOIS TOOL WORKS,ITW,US,BBG000BMBL90,,Common Stock,Equity,BBG001S5SDX0,,Common Stock,ITW
BBG000DSMS70,ILLUMINA INC,ILMN,US,BBG000DSMS70,,Common Stock,Equity,BBG001SF4NY1,,Common Stock,ILMN
BBG000BNPSQ9,INCYTE CORP,INCY,US,BBG000BNPSQ9,,Common Stock,Equity,BBG001S8Q6N2,,Common Stock,INCY
BBG002R1CW27,INGERSOLL-RAND INC,IR,US,BBG002R1CW27,,Common Stock,Equity,BBG002R1CW36,,Common Stock,IR
BBG000C0G1D1,INTEL CORP,INTC,US,BBG000C0G1D1,,Common Stock,Equity,BBG001S5SF65,,Common Stock,INTC
BBG000C1FB75,INTERCONTINENTAL EXCHANGE IN,ICE,US,BBG000C1FB75,,Common Stock,Equity,BBG001SDJ4R0,,Common Stock,ICE
BBG000BLNNH6,INTL BUSINESS MACHINES CORP,IBM,US,BBG000BLNNH6,,Common Stock,Equity,BBG001S5S399,,Common Stock,IBM
BBG000BM5SR2,INTERNATIONAL PAPER CO,IP,US,BBG000BM5SR2,,Common Stock,Equity,BBG001S5SBF4,,Common Stock,IP
BBG000C90DH9,INTERPUBLIC GROUP OF COS INC,IPG,US,BBG000C90DH9,,Common Stock,Equity,BBG001S6RLK5,,Common Stock,IPG
BBG000BLSL58,INTL FLAVORS & FRAGRANCES,IFF,US,BBG000BLSL58,,Common Stock,Equity,BBG001S5S5F7,,Common Stock,IFF
BBG000BH5DV1,INTUIT INC,INTU,US,BBG000BH5DV1,,Common Stock,Equity,BBG001S6TWR2,,Common Stock,INTU
BBG000BJPDZ1,INTUITIVE SURGICAL INC,ISRG,US,BBG000BJPDZ1,,Common Stock,Equity,BBG001S7XR78,,Common Stock,ISRG
BBG000BY2Y78,INVESCO LTD,IVZ,US,BBG000BY2Y78,,Common Stock,Equity,BBG001S9RD81,,Common Stock,IVZ
BBG000DCGRL8,IPG PHOTONICS CORP,IPGP,US,BBG000DCGRL8,,Common Stock,Equity,BBG001SG95B8,,Common Stock,IPGP
BBG00333FYS2,IQVIA HOLDINGS INC,IQV,US,BBG00333FYS2,,Common Stock,Equity,BBG00333FZ54,,Common Stock,IQV
BBG000KCZPC3,IRON MOUNTAIN INC,IRM,US,BBG000KCZPC3,,REIT,Equity,BBG001SCQ2X1,,REIT,IRM
BBG000BMH2Q7,JACK HENRY & ASSOCIATES INC,JKHY,US,BBG000BMH2Q7,,Common Stock,Equity,BBG001S5SHB5,,Common Stock,JKHY
BBG000BMFFQ0,JACOBS ENGINEERING GROUP INC,J,US,BBG000BMFFQ0,,Common Stock,Equity,BBG001S5SGC6,,Common Stock,J
BBG000BMDBZ1,HUNT (JB) TRANSPRT SVCS INC,JBHT,US,BBG000BMDBZ1,,Common Stock,Equity,BBG001S5SFY4,,Common Stock,JBHT
BBG000BMHYD1,JOHNSON & JOHNSON,JNJ,US,BBG000BMHYD1,,Common Stock,Equity,BBG001S5SHQ9,,Common Stock,JNJ
BBG000BVWLJ6,JOHNSON CONTROLS INTERNATION,JCI,US,BBG000BVWLJ6,,Common Stock,Equity,BBG001S5WZ84,,Common Stock,JCI
BBG000DMBXR2,JPMORGAN CHASE & CO,JPM,US,BBG000DMBXR2,,Common Stock,Equity,BBG001S8CRC3,,Common Stock,JPM
BBG000BY33P5,JUNIPER NETWORKS INC,JNPR,US,BBG000BY33P5,,Common Stock,Equity,BBG001SCTT05,,Common Stock,JNPR
BBG000BLMZK6,CARMAX INC,KMX,US,BBG000BLMZK6,,Common Stock,Equity,BBG001SD9561,,Common Stock,KMX
BBG000BMX289,COCA-COLA CO/THE,KO,US,BBG000BMX289,,Common Stock,Equity,BBG001S5SMQ8,,Common Stock,KO
BBG000BMZ7P7,KANSAS CITY SOUTHERN,KSU,US,BBG000BMZ7P7,,Common Stock,Equity,BBG001S5SNG7,,Common Stock,KSU
BBG000BMKDM3,KELLOGG CO,K,US,BBG000BMKDM3,,Common Stock,Equity,BBG001S5SJL0,,Common Stock,K
BBG000BMQPL1,KEYCORP,KEY,US,BBG000BMQPL1,,Common Stock,Equity,BBG001S5SKV6,,Common Stock,KEY
BBG0059FN811,KEYSIGHT TECHNOLOGIES IN,KEYS,US,BBG0059FN811,,Common Stock,Equity,BBG0059FN820,,Common Stock,KEYS
BBG000BMW2Z0,KIMBERLY-CLARK CORP,KMB,US,BBG000BMW2Z0,,Common Stock,Equity,BBG001S5SLZ0,,Common Stock,KMB
BBG000CN3S73,KIMCO REALTY CORP,KIM,US,BBG000CN3S73,,REIT,Equity,BBG001S70279,,REIT,KIM
BBG0019JZ882,KINDER MORGAN INC,KMI,US,BBG0019JZ882,,Common Stock,Equity,BBG001TG2YZ5,,Common Stock,KMI
BBG000BMTFR4,KLA CORP,KLAC,US,BBG000BMTFR4,,Common Stock,Equity,BBG001S5SLM4,,Common Stock,KLAC
BBG005CPNTQ2,KRAFT HEINZ CO/THE,KHC,US,BBG005CPNTQ2,,Common Stock,Equity,BBG005CPNTR1,,Common Stock,KHC
BBG000BMY992,KROGER CO,KR,US,BBG000BMY992,,Common Stock,Equity,BBG001S5SN40,,Common Stock,KR
BBG000DW4Q75,ALLIANT ENERGY CORP,LNT,US,BBG000DW4Q75,,Common Stock,Equity,BBG001S8ZQ30,,Common Stock,LNT
BBG000BLGFJ9,L3HARRIS TECHNOLOGIES INC,LHX,US,BBG000BLGFJ9,,Common Stock,Equity,BBG001S5S0N9,,Common Stock,LHX
BBG000D9DMK0,LABORATORY CRP OF AMER HLDGS,LH,US,BBG000D9DMK0,,Common Stock,Equity,BBG001S7RX54,,Common Stock,LH
BBG000BNFLM9,LAM RESEARCH CORP,LRCX,US,BBG000BNFLM9,,Common Stock,Equity,BBG001S5SW40,,Common Stock,LRCX
BBG003CVMLQ2,LAMB WESTON HOLDINGS INC,LW,US,BBG003CVMLQ2,,Common Stock,Equity,BBG003CVMLR1,,Common Stock,LW
BBG000JWD753,LAS VEGAS SANDS CORP,LVS,US,BBG000JWD753,,Common Stock,Equity,BBG001SJCGP9,,Common Stock,LVS
BBG000BN53G7,LEGGETT & PLATT INC,LEG,US,BBG000BN53G7,,Common Stock,Equity,BBG001S5SRG8,,Common Stock,LEG
BBG000C23PB0,LEIDOS HOLDINGS INC,LDOS,US,BBG000C23PB0,,Common Stock,Equity,BBG001SKW6M9,,Common Stock,LDOS
BBG000BN5HF7,LENNAR CORP-A,LEN,US,BBG000BN5HF7,,Common Stock,Equity,BBG001S5SRK3,,Common Stock,LEN
BBG000BNBDC2,ELI LILLY & CO,LLY,US,BBG000BNBDC2,,Common Stock,Equity,BBG001S5STL8,,Common Stock,LLY
BBG000BNC3Y9,LINCOLN NATIONAL CORP,LNC,US,BBG000BNC3Y9,,Common Stock,Equity,BBG001S5STV7,,Common Stock,LNC
BBG00GVR8YQ9,LINDE PLC,LIN,US,BBG00GVR8YQ9,,Common Stock,Equity,BBG00GVR8YR8,,Common Stock,LIN
BBG000FQ7YR4,LIVE NATION ENTERTAINMENT IN,LYV,US,BBG000FQ7YR4,,Common Stock,Equity,BBG001SNP2B2,,Common Stock,LYV
BBG000PXDL44,LKQ CORP,LKQ,US,BBG000PXDL44,,Common Stock,Equity,BBG001SCCPJ1,,Common Stock,LKQ
BBG000C1BW00,LOCKHEED MARTIN CORP,LMT,US,BBG000C1BW00,,Common Stock,Equity,BBG001S7PS57,,Common Stock,LMT
BBG000C45984,LOEWS CORP,L,US,BBG000C45984,,Common Stock,Equity,BBG001S6KQC0,,Common Stock,L
BBG000BNDN65,LOWE'S COS INC,LOW,US,BBG000BNDN65,,Common Stock,Equity,BBG001S5SVL3,,Common Stock,LOW
BBG000BGLRN3,LUMEN TECHNOLOGIES INC,LUMN,US,BBG000BGLRN3,,Common Stock,Equity,BBG001S5Q8G2,,Common Stock,LUMN
BBG000WCFV84,LYONDELLBASELL INDU-CL A,LYB,US,BBG000WCFV84,,Common Stock,Equity,BBG001T8LMY9,,Common Stock,LYB
BBG000BNJHS8,SOUTHWEST AIRLINES CO,LUV,US,BBG000BNJHS8,,Common Stock,Equity,BBG001S5SXC9,,Common Stock,LUV
BBG000BP52R2,3M CO,MMM,US,BBG000BP52R2,,Common Stock,Equity,BBG001S5T7X2,,Common Stock,MMM
BBG000BP6LJ8,ALTRIA GROUP INC,MO,US,BBG000BP6LJ8,,Common Stock,Equity,BBG001S5T8T5,,Common Stock,MO
BBG000D9KWL9,M & T BANK CORP,MTB,US,BBG000D9KWL9,,Common Stock,Equity,BBG001S7S2B4,,Common Stock,MTB
BBG000C8H633,MARATHON OIL CORP,MRO,US,BBG000C8H633,,Common Stock,Equity,BBG001S69V69,,Common Stock,MRO
BBG001DCCGR8,MARATHON PETROLEUM CORP,MPC,US,BBG001DCCGR8,,Common Stock,Equity,BBG001S169P1,,Common Stock,MPC
BBG000BJBZ23,MARKETAXESS HOLDINGS INC,MKTX,US,BBG000BJBZ23,,Common Stock,Equity,BBG001S8R6K4,,Common Stock,MKTX
BBG000BGD7W6,MARRIOTT INTERNATIONAL -CL A,MAR,US,BBG000BGD7W6,,Common Stock,Equity,BBG001S78K44,,Common Stock,MAR
BBG000BP4MH0,MARSH & MCLENNAN COS,MMC,US,BBG000BP4MH0,,Common Stock,Equity,BBG001S5T7M4,,Common Stock,MMC
BBG000BGYMH7,MARTIN MARIETTA MATERIALS,MLM,US,BBG000BGYMH7,,Common Stock,Equity,BBG001S7QC51,,Common Stock,MLM
BBG000BNNKG9,MASCO CORP,MAS,US,BBG000BNNKG9,,Common Stock,Equity,BBG001S5SZ70,,Common Stock,MAS
BBG000F1ZSQ2,MASTERCARD INC - A,MA,US,BBG000F1ZSQ2,,Common Stock,Equity,BBG001SKNNS6,,Common Stock,MA
BBG00VT0KNC3,MATCH GROUP INC,MTCH,US,BBG00VT0KNC3,,Common Stock,Equity,BBG00VT0KP47,,Common Stock,MTCH
BBG000G6Y5W4,MCCORMICK & CO-NON VTG SHRS,MKC,US,BBG000G6Y5W4,,Common Stock,Equity,BBG001S79S19,,Common Stock,MKC
BBG000BNSZP1,MCDONALD'S CORP,MCD,US,BBG000BNSZP1,,Common Stock,Equity,BBG001S5T110,,Common Stock,MCD
BBG000DYGNW7,MCKESSON CORP,MCK,US,BBG000DYGNW7,,Common Stock,Equity,BBG001S8F8P8,,Common Stock,MCK
BBG000BNWG87,MEDTRONIC PLC,MDT,US,BBG000BNWG87,,Common Stock,Equity,BBG001S5T2S9,,Common Stock,MDT
BBG000BPD168,MERCK & CO. INC.,MRK,US,BBG000BPD168,,Common Stock,Equity,BBG001S5TC52,,Common Stock,MRK
BBG000BB6KF5,METLIFE INC,MET,US,BBG000BB6KF5,,Common Stock,Equity,BBG001S5T3R8,,Common Stock,MET
BBG000BZCKH3,METTLER-TOLEDO INTERNATIONAL,MTD,US,BBG000BZCKH3,,Common Stock,Equity,BBG001SB87G1,,Common Stock,MTD
BBG000C2BXK4,MGM RESORTS INTERNATIONAL,MGM,US,BBG000C2BXK4,,Common Stock,Equity,BBG001S6BYT5,,Common Stock,MGM
BBG000BHCP19,MICROCHIP TECHNOLOGY INC,MCHP,US,BBG000BHCP19,,Common Stock,Equity,BBG001S787B5,,Common Stock,MCHP
BBG000C5Z1S3,MICRON TECHNOLOGY INC,MU,US,BBG000C5Z1S3,,Common Stock,Equity,BBG001S6P675,,Common Stock,MU
BBG000BPH459,MICROSOFT CORP,MSFT,US,BBG000BPH459,,Common Stock,Equity,BBG001S5TD05,,Common Stock,MSFT
BBG000BLMY92,MID-AMERICA APARTMENT COMM,MAA,US,BBG000BLMY92,,REIT,Equity,BBG001S7HZ69,,REIT,MAA
BBG003PHHZT1,MODERNA INC,MRNA,US,BBG003PHHZT1,,Common Stock,Equity,BBG003PHHZV8,,Common Stock,MRNA
BBG000FLZN98,MOHAWK INDUSTRIES INC,MHK,US,BBG000FLZN98,,Common Stock,Equity,BBG001SBGSZ5,,Common Stock,MHK
BBG000D4LWF6,MONDELEZ INTERNATIONAL INC-A,MDLZ,US,BBG000D4LWF6,,Common Stock,Equity,BBG001SHHZJ3,,Common Stock,MDLZ
BBG000C30L48,MONOLITHIC POWER SYSTEMS INC,MPWR,US,BBG000C30L48,,Common Stock,Equity,BBG001SDRGP6,,Common Stock,MPWR
BBG008NVB1C0,MONSTER BEVERAGE CORP,MNST,US,BBG008NVB1C0,,Common Stock,Equity,BBG008NVB1F7,,Common Stock,MNST
