figi,name,ticker,exchCode,compositeFIGI,uniqueID,securityType,marketSector,shareClassFIGI,uniqueIDFutOpt,securityType2,securityDescription
BBG000BL46Q4,REGENCY CENTERS CORP,REG,US,BBG000BL46Q4,,REIT,Equity,BBG001S7H752,,REIT,REG
BBG000C734W3,REGENERON PHARMACEUTICALS,REGN,US,BBG000C734W3,,Common Stock,Equity,BBG001S6PX49,,Common Stock,REGN
BBG000Q3JN03,REGIONS FINANCIAL CORP,RF,US,BBG000Q3JN03,,Common Stock,Equity,BBG001SM4KY2,,Common Stock,RF
BBG000BPXVJ6,REPUBLIC SERVICES INC,RSG,US,BBG000BPXVJ6,,Common Stock,Equity,BBG001S9DL33,,Common Stock,RSG
BBG000L4M7F1,RESMED INC,RMD,US,BBG000L4M7F1,,Common Stock,Equity,BBG001SBGRC2,,Common Stock,RMD
BBG000BS5DR2,ROBERT HALF INTL INC,RHI,US,BBG000BS5DR2,,Common Stock,Equity,BBG001S5VP41,,Common Stock,RHI
BBG000BBCDZ2,ROCKWELL AUTOMATION INC,ROK,US,BBG000BBCDZ2,,Common Stock,Equity,BBG001S5VRF5,,Common Stock,ROK
BBG000BSBBP1,ROLLINS INC,ROL,US,BBG000BSBBP1,,Common Stock,Equity,BBG001S5VRG4,,Common Stock,ROL
BBG000F1ZSN5,ROPER TECHNOLOGIES INC,ROP,US,BBG000F1ZSN5,,Common Stock,Equity,BBG001S9B362,,Common Stock,ROP
BBG000BSBZH7,ROSS STORES INC,ROST,US,BBG000BSBZH7,,Common Stock,Equity,BBG001S5VRS1,,Common Stock,ROST
BBG000BB5792,ROYAL CARIBBEAN CRUISES LTD,RCL,US,BBG000BB5792,,Common Stock,Equity,BBG001S5RMJ7,,Common Stock,RCL
BBG000BSLZY7,SCHWAB (CHARLES) CORP,SCHW,US,BBG000BSLZY7,,Common Stock,Equity,BBG001S5VXD4,,Common Stock,SCHW
BBG000J1QLT0,CONSTELLATION BRANDS INC-A,STZ,US,BBG000J1QLT0,,Common Stock,Equity,BBG001SD31G5,,Common Stock,STZ
BBG000BT1715,JM SMUCKER CO/THE,SJM,US,BBG000BT1715,,Common Stock,Equity,BBG001S5W3H5,,Common Stock,SJM
BBG000BP1Q11,S&P GLOBAL INC,SPGI,US,BBG000BP1Q11,,Common Stock,Equity,BBG001S5T5M8,,Common Stock,SPGI
BBG000D2M0Z7,SBA COMMUNICATIONS CORP,SBAC,US,BBG000D2M0Z7,,REIT,Equity,BBG001SCWNN9,,REIT,SBAC
BBG000BT41Q8,SCHLUMBERGER LTD,SLB,US,BBG000BT41Q8,,Common Stock,Equity,BBG001S5W4C8,,Common Stock,SLB
BBG000F0KF42,SEAGATE TECHNOLOGY,STX,US,BBG000F0KF42,,Common Stock,Equity,BBG001SJ6570,,Common Stock,STX
BBG000C22QV7,SEALED AIR CORP,SEE,US,BBG000C22QV7,,Common Stock,Equity,BBG001SBSZ95,,Common Stock,SEE
BBG000C2ZCH8,SEMPRA ENERGY,SRE,US,BBG000C2ZCH8,,Common Stock,Equity,BBG001SBVZ73,,Common Stock,SRE
BBG000BSXQV7,SHERWIN-WILLIAMS CO/THE,SHW,US,BBG000BSXQV7,,Common Stock,Equity,BBG001S5W2F9,,Common Stock,SHW
BBG000BJ2D31,SIMON PROPERTY GROUP INC,SPG,US,BBG000BJ2D31,,REIT,Equity,BBG001S77WM9,,REIT,SPG
BBG000KLB4Q1,SKYWORKS SOLUTIONS INC,SWKS,US,BBG000KLB4Q1,,Common Stock,Equity,BBG001SCYWS2,,Common Stock,SWKS
BBG000BT7JW9,SNAP-ON INC,SNA,US,BBG000BT7JW9,,Common Stock,Equity,BBG001S5W688,,Common Stock,SNA
BBG000BT9DW0,SOUTHERN CO/THE,SO,US,BBG000BT9DW0,,Common Stock,Equity,BBG001S5W777,,Common Stock,SO
BBG000BTQR96,STANLEY BLACK & DECKER INC,SWK,US,BBG000BTQR96,,Common Stock,Equity,BBG001S5WHT1,,Common Stock,SWK
